time,E_kWh,p_net_kW,p_ch_kW,p_dis_kW,p_da_kw,p_id_kw,E_lower_kWh,E_upper_kWh,P_lower_kW,P_upper_kW
2025-10-01 17:00:00+02:00,391.5,-0.0,0.0,0.0,0.0,0.0,-458.0,1241.0,-3000.0,3000.0
2025-10-01 17:15:00+02:00,828.5,-1840.0,1840.0,0.0,0.0,-1840.0,-414.0,1034.75,-2718.75,2718.75
2025-10-01 17:30:00+02:00,828.5,-0.0,0.0,0.0,0.0,0.0,-370.0,828.5,-2437.5,2437.5
2025-10-01 17:45:00+02:00,54.815789473684276,2156.25,0.0,2156.25,0.0,2156.25,-326.0,622.25,-2156.25,2156.25
2025-10-01 18:00:00+02:00,416.0,-1520.775623268698,1520.775623268698,0.0,0.0,-1520.775623268698,-282.0,416.0,-1875.0,1875.0
2025-10-01 18:15:00+02:00,297.5,225.15,0.0,225.15,0.0,225.15,-461.0,356.75,-1687.5,1687.5
2025-10-01 18:30:00+02:00,297.5,-0.0,0.0,0.0,0.0,0.0,-640.0,297.5,-1500.0,1500.0
2025-10-01 18:45:00+02:00,-107.14473684210526,1312.5,0.0,1312.5,0.0,1312.5,-819.0,238.25,-1312.5,1312.5
2025-10-01 19:00:00+02:00,-403.1973684210526,1125.0,0.0,1125.0,0.0,1125.0,-998.0,179.0,-1125.0,1125.0
2025-10-01 19:15:00+02:00,-699.25,1125.0,0.0,1125.0,0.0,1125.0,-873.0,166.0,-1125.0,1125.0
2025-10-01 19:30:00+02:00,-748.0,185.25,0.0,185.25,0.0,185.25,-748.0,153.0,-1125.0,1125.0
2025-10-01 19:45:00+02:00,-498.0,-526.3157894736842,526.3157894736842,0.0,0.0,-526.3157894736842,-623.0,140.0,-1125.0,1125.0
2025-10-01 20:00:00+02:00,-498.0,-0.0,0.0,0.0,0.0,0.0,-498.0,127.0,-1125.0,1125.0
2025-10-01 20:15:00+02:00,-547.5,188.1,0.0,188.1,0.0,188.1,-547.5,140.0,-1031.25,1031.25
2025-10-01 20:30:00+02:00,-552.25,18.05,0.0,18.05,0.0,18.05,-597.0,153.0,-937.5,937.5
2025-10-01 20:45:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-646.5,166.0,-843.75,843.75
2025-10-01 21:00:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-696.0,179.0,-750.0,750.0
2025-10-01 21:15:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-664.75,147.75,-750.0,750.0
2025-10-01 21:30:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-633.5,116.5,-750.0,750.0
2025-10-01 21:45:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-602.25,85.25,-750.0,750.0
2025-10-01 22:00:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-571.0,54.0,-750.0,750.0
2025-10-01 22:15:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-602.25,85.25,-750.0,750.0
2025-10-01 22:30:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-633.5,116.5,-750.0,750.0
2025-10-01 22:45:00+02:00,-552.25,-0.0,0.0,0.0,0.0,0.0,-664.75,147.75,-750.0,750.0
